family_id,mode,descriptor_signature,n,k_contexts,m_per_context,total_budget,stack_rank,local_exact_all,shared_exact,shared_aug_threshold,shared_aug_found,context_invariance_gap,cid,stack_alignment,stack_residual,notes
ctxfam_4,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,3.2498059012,1.0,0.0,local_exact_global_fail
ctxfam_6,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,1,1,1,4.1505116016,1.0,0.0,local_exact_global_fail
ctxfam_8,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,5.2522231982,1.0,0.0,local_exact_global_fail
ctxfam_10,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,1,1,1,1.4407884046,1.0,0.0,local_exact_global_fail
ctxfam_13,local_only,n6|k4|m2|r5|b8,6,4,2,8,5,1,0,1,1,1,3.2946864357,1.0,0.0,local_exact_global_fail
ctxfam_17,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,1,1,1,5.4194666565,1.0,0.0,local_exact_global_fail
ctxfam_19,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,1,1,1,2.9772452077,1.0,0.0,local_exact_global_fail
ctxfam_21,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,2.6542413765,1.0,0.0,local_exact_global_fail
ctxfam_28,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,6.4320197818,1.0,0.0,local_exact_global_fail
ctxfam_32,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,5.5424387642,1.0,0.0,local_exact_global_fail
ctxfam_35,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,4.6622695061,1.0,0.0,local_exact_global_fail
ctxfam_44,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,1,1,1,1.6523175461,1.0,0.0,local_exact_global_fail
ctxfam_45,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,5.2008527857,1.0,0.0,local_exact_global_fail
ctxfam_46,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,1,1,1,3.441201095,1.0,0.0,local_exact_global_fail
ctxfam_52,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,7.7779953781,1.0,0.0,local_exact_global_fail
ctxfam_61,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,3.7368796424,1.0,0.0,local_exact_global_fail
ctxfam_64,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,4.0927903306,1.0,0.0,local_exact_global_fail
ctxfam_65,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,2,1,1,5.596872582,1.0,0.0,local_exact_global_fail
ctxfam_67,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,2,1,1,2.5032141002,1.0,0.0,local_exact_global_fail
ctxfam_68,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,2.6503968964,1.0,0.0,local_exact_global_fail
ctxfam_73,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,4.9301044262,1.0,0.0,local_exact_global_fail
ctxfam_77,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,4.367641149,1.0,0.0,local_exact_global_fail
ctxfam_83,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,2,1,1,2.3999170216,1.0,0.0,local_exact_global_fail
ctxfam_87,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,2,1,1,4.4536960287,1.0,0.0,local_exact_global_fail
ctxfam_90,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,3.9125536019,1.0,0.0,local_exact_global_fail
ctxfam_92,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,2,1,1,5.0586868045,1.0,0.0,local_exact_global_fail
ctxfam_95,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,4.0563751418,1.0,0.0,local_exact_global_fail
ctxfam_96,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,2,1,1,3.1825361882,1.0,0.0,local_exact_global_fail
ctxfam_104,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,5.0169659192,1.0,0.0,local_exact_global_fail
ctxfam_105,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,4.3455510079,1.0,0.0,local_exact_global_fail
ctxfam_108,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,4.9751991869,1.0,0.0,local_exact_global_fail
ctxfam_112,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,5.4640607637,1.0,0.0,local_exact_global_fail
ctxfam_113,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,2,1,1,2.3285646607,1.0,0.0,local_exact_global_fail
ctxfam_115,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,4.0536350466,1.0,0.0,local_exact_global_fail
ctxfam_118,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,6.2776029904,1.0,0.0,local_exact_global_fail
ctxfam_122,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,1,1,1,2.1855256071,1.0,0.0,local_exact_global_fail
ctxfam_123,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,5.0788780721,1.0,0.0,local_exact_global_fail
ctxfam_124,local_only,n4|k2|m2|r3|b4,4,2,2,4,3,1,0,1,1,1,1.4061824633,1.0,0.0,local_exact_global_fail
ctxfam_130,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,4.142221213,1.0,0.0,local_exact_global_fail
ctxfam_135,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,3.5898442759,1.0,0.0,local_exact_global_fail
ctxfam_136,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,3.91195955,1.0,0.0,local_exact_global_fail
ctxfam_137,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,2,1,1,4.9274847322,1.0,0.0,local_exact_global_fail
ctxfam_138,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,2,1,1,3.5087259365,1.0,0.0,local_exact_global_fail
ctxfam_139,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,3.2122289366,1.0,0.0,local_exact_global_fail
ctxfam_142,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,5.1531605496,1.0,0.0,local_exact_global_fail
ctxfam_148,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,3.8421009389,1.0,0.0,local_exact_global_fail
ctxfam_150,local_only,n4|k5|m2|r4|b10,4,5,2,10,4,1,0,1,1,1,3.2324306274,1.0,0.0,local_exact_global_fail
ctxfam_156,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,2,1,1,2.7799606257,1.0,0.0,local_exact_global_fail
ctxfam_158,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,1,1,1,2.9703454055,1.0,0.0,local_exact_global_fail
ctxfam_163,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,3.9148954704,1.0,0.0,local_exact_global_fail
ctxfam_164,local_only,n5|k4|m2|r5|b8,5,4,2,8,5,1,0,1,1,1,6.8909825557,1.0,0.0,local_exact_global_fail
ctxfam_165,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,2,1,1,3.0452967789,1.0,0.0,local_exact_global_fail
ctxfam_166,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,1,1,1,6.4488662686,1.0,0.0,local_exact_global_fail
ctxfam_169,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,2.2276184203,1.0,0.0,local_exact_global_fail
ctxfam_170,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,4.246003443,1.0,0.0,local_exact_global_fail
ctxfam_176,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,1,1,1,3.1176471285,1.0,0.0,local_exact_global_fail
ctxfam_179,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,2,1,1,2.5560046675,1.0,0.0,local_exact_global_fail
ctxfam_187,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,1,1,1,4.9980087055,1.0,0.0,local_exact_global_fail
ctxfam_189,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,3.3704176324,1.0,0.0,local_exact_global_fail
ctxfam_192,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,1,1,1,6.9374460939,1.0,0.0,local_exact_global_fail
ctxfam_193,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,4.8046313285,1.0,0.0,local_exact_global_fail
ctxfam_197,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,2,1,1,3.5073724092,1.0,0.0,local_exact_global_fail
ctxfam_198,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,2,1,1,3.1441811406,1.0,0.0,local_exact_global_fail
ctxfam_202,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,2,1,1,3.3726881404,1.0,0.0,local_exact_global_fail
ctxfam_204,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,2,1,1,5.5232405769,1.0,0.0,local_exact_global_fail
ctxfam_205,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,1,1,1,4.2195338374,1.0,0.0,local_exact_global_fail
ctxfam_215,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,2,1,1,5.0339078165,1.0,0.0,local_exact_global_fail
ctxfam_218,local_only,n6|k5|m2|r6|b10,6,5,2,10,6,1,0,2,1,1,4.3038697054,1.0,0.0,local_exact_global_fail
ctxfam_229,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,5.3470396554,1.0,0.0,local_exact_global_fail
ctxfam_230,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,2.0156173433,1.0,0.0,local_exact_global_fail
ctxfam_236,local_only,n4|k4|m2|r4|b8,4,4,2,8,4,1,0,1,1,1,5.1063184938,1.0,0.0,local_exact_global_fail
ctxfam_237,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,3.4315997797,1.0,0.0,local_exact_global_fail
ctxfam_242,local_only,n7|k4|m2|r5|b8,7,4,2,8,5,1,0,2,1,1,5.0467133486,1.0,0.0,local_exact_global_fail
