family_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,shared_exact,context_invariance_gap,cid,mean_local_dls,joint_dls,stack_alignment,stack_residual,stack_logdet_info,rank_only_pred_shared,budget_only_pred_shared,enlarged_shared_exact,enlarged_local_exact_all,enlargement_flip,shared_aug_threshold,shared_aug_found,shared_aug_rows,shared_aug_residual,notes
ctxfam_0,drift_prone,6,4,2,8,5,n6|k4|m2|r5|b8,0,0,0,2.6084835884,0.0,0.0,0.640323665,1.5677927966,-61.7731393155,0,1,0,0,0,,0,,,
ctxfam_1,drift_prone,6,4,2,8,5,n6|k4|m2|r5|b8,0,0,0,4.4777749413,0.0,0.0,0.8034085763,1.1958189457,-57.4236506447,0,1,0,0,0,,0,,,
ctxfam_2,shared_exact,7,3,2,6,2,n7|k3|m2|r2|b6,0,0,0,5.0553109734,1.0,1.0,0.0920393458,5.0553109734,-63.0282685508,0,0,0,0,0,,0,,,
ctxfam_3,shared_exact,5,4,2,8,2,n5|k4|m2|r2|b8,0,0,0,3.066040184,1.0,1.0,0.1149104372,3.066040184,-101.2532132774,0,1,0,0,0,3,1,3,0.0,
ctxfam_4,local_only,5,2,2,4,3,n5|k2|m2|r3|b4,1,0,1,3.2498059012,0.0,0.0,1.0,0.0,-8.8532252568,0,0,0,1,0,1,1,1,0.0,
ctxfam_5,redundant_measurement,6,4,2,8,1,n6|k4|m2|r1|b8,0,0,0,5.0,0.875,0.875,0.0550888175,5.0,-122.6531980603,0,1,0,0,0,,0,,,
ctxfam_6,local_only,4,3,2,6,4,n4|k3|m2|r4|b6,1,0,1,4.1505116016,0.0,0.0,1.0,0.0,-25.8106737297,1,1,0,1,0,1,1,1,0.0,
ctxfam_7,shared_exact,7,4,2,8,2,n7|k4|m2|r2|b8,0,0,0,1.140496326,0.1111111111,0.1111111111,0.7511232979,1.140496326,-100.436278896,0,1,0,0,0,,0,,,
ctxfam_8,local_only,5,4,2,8,5,n5|k4|m2|r5|b8,1,0,1,5.2522231982,0.0,0.0,1.0,0.0,-39.3589227008,1,1,0,1,0,1,1,1,0.0,
ctxfam_9,shared_exact,7,4,2,8,2,n7|k4|m2|r2|b8,0,0,0,3.93541498,0.7611940299,0.7611940299,0.3149321851,3.93541498,-100.5079848654,0,1,0,0,0,,0,,,
