system_id,anomaly_type,severity,details
restricted_linear_same_rank_exact_n5_r2_k2,low_rank_low_dls,MEDIUM,"rank=2.0, DLS=0.000"
restricted_linear_same_rank_fail_n5_r2_k2,rank_predicts_success_but_dls_high,HIGH,"rank=2.0, target_rank=2.0, DLS=0.692"
restricted_linear_same_rank_fail_n5_r2_k2,high_dls_small_delta,MEDIUM,"delta=1.0, DLS=0.692"
restricted_linear_same_rank_fail_n6_r2_k3,rank_predicts_success_but_dls_high,HIGH,"rank=3.0, target_rank=2.0, DLS=0.692"
restricted_linear_same_rank_fail_n6_r2_k3,high_dls_small_delta,MEDIUM,"delta=1.0, DLS=0.692"
periodic_modal_cutoff_1_low_mode_sum,rank_predicts_success_but_dls_high,HIGH,"rank=1.0, target_rank=1.0, DLS=0.692"
periodic_modal_cutoff_1_low_mode_sum,high_dls_small_delta,MEDIUM,"delta=1.0, DLS=0.692"
periodic_modal_cutoff_2_low_mode_sum,low_rank_low_dls,MEDIUM,"rank=2.0, DLS=0.000"
bounded_cfd_divergence_only_bounded_observation,rank_predicts_success_but_dls_high,HIGH,"rank=2.0, target_rank=2.0, DLS=1.000"
bounded_cfd_protected_projected_bounded_observation,low_rank_low_dls,MEDIUM,"rank=2.0, DLS=0.000"
mhd_mhd_divergence_only_observation,rank_predicts_success_but_dls_high,HIGH,"rank=2.0, target_rank=2.0, DLS=1.000"
mhd_mhd_Helmholtz_projected_observation,low_rank_low_dls,MEDIUM,"rank=2.0, DLS=0.000"
periodic_modal_cutoff_4_full_modal_coefficients,augmentation_threshold_dls_drop,HIGH,"series=periodic_modal_full_modal_coefficients, DLS drop=1.000, delta drop=2.0 (periodic_modal_cutoff_2_full_modal_coefficients -> periodic_modal_cutoff_4_full_modal_coefficients)"
periodic_modal_cutoff_2_low_mode_sum,augmentation_threshold_dls_drop,HIGH,"series=periodic_modal_low_mode_sum, DLS drop=0.692, delta drop=1.0 (periodic_modal_cutoff_1_low_mode_sum -> periodic_modal_cutoff_2_low_mode_sum)"
bounded_cfd_full_bounded_state_observation,augmentation_threshold_dls_drop,HIGH,"series=bounded_cfd_observation_family, DLS drop=1.000, delta drop=2.0 (bounded_cfd_divergence_only_bounded_observation -> bounded_cfd_full_bounded_state_observation)"
mhd_mhd_full_field_observation,augmentation_threshold_dls_drop,HIGH,"series=mhd_observation_family, DLS drop=1.000, delta drop=2.0 (mhd_mhd_divergence_only_observation -> mhd_mhd_full_field_observation)"
