record_id,source,family,mode,descriptor_signature,n,p,q,k,total_budget,stack_rank,target_rank,local_exact,shared_exact,context_gap,cid,rowspace_residual,collision_gap,collision_gap_mode,delta_free,delta_c,library_rank_gain,library_full_feasible,dfmi,idelb,cl,status_label,scope_note
deep_0,multicontext_witness,drift_prone,drift_prone,n6|k4|m2|r5|b8,6,2,,4,8,5,,0,0,0,2.6084835884,1.5677927966,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_1,multicontext_witness,drift_prone,drift_prone,n6|k4|m2|r5|b8,6,2,,4,8,5,,0,0,0,4.4777749413,1.1958189457,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_2,multicontext_witness,shared_exact,shared_exact,n7|k3|m2|r2|b6,7,2,,3,6,2,,0,0,0,5.0553109734,5.0553109734,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_3,multicontext_witness,shared_exact,shared_exact,n5|k4|m2|r2|b8,5,2,,4,8,2,,0,0,0,3.066040184,3.066040184,,,3,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_4,multicontext_witness,local_only,local_only,n5|k2|m2|r3|b4,5,2,,2,4,3,,1,0,1,3.2498059012,0.0,,,1,,,,,,,PROVED ON SUPPORTED FAMILY,context-indexed supported family
deep_5,multicontext_witness,redundant_measurement,redundant_measurement,n6|k4|m2|r1|b8,6,2,,4,8,1,,0,0,0,5.0,5.0,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_6,multicontext_witness,local_only,local_only,n4|k3|m2|r4|b6,4,2,,3,6,4,,1,0,1,4.1505116016,0.0,,,1,,,,,,,PROVED ON SUPPORTED FAMILY,context-indexed supported family
deep_7,multicontext_witness,shared_exact,shared_exact,n7|k4|m2|r2|b8,7,2,,4,8,2,,0,0,0,1.140496326,1.140496326,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_8,multicontext_witness,local_only,local_only,n5|k4|m2|r5|b8,5,2,,4,8,5,,1,0,1,5.2522231982,0.0,,,1,,,,,,,PROVED ON SUPPORTED FAMILY,context-indexed supported family
deep_9,multicontext_witness,shared_exact,shared_exact,n7|k4|m2|r2|b8,7,2,,4,8,2,,0,0,0,3.93541498,3.93541498,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_10,multicontext_witness,local_only,local_only,n4|k2|m2|r3|b4,4,2,,2,4,3,,1,0,1,1.4407884046,0.0,,,1,,,,,,,PROVED ON SUPPORTED FAMILY,context-indexed supported family
deep_11,multicontext_witness,mixed_random,mixed_random,n5|k3|m2|r5|b6,5,2,,3,6,5,,0,0,0,4.7628716645,0.0,,,3,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_12,multicontext_witness,drift_prone,drift_prone,n6|k5|m2|r6|b10,6,2,,5,10,6,,0,0,0,4.7393834436,0.0,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_13,multicontext_witness,local_only,local_only,n6|k4|m2|r5|b8,6,2,,4,8,5,,1,0,1,3.2946864357,0.0,,,1,,,,,,,PROVED ON SUPPORTED FAMILY,context-indexed supported family
deep_14,multicontext_witness,mixed_random,mixed_random,n6|k5|m2|r6|b10,6,2,,5,10,6,,0,0,0,6.5512171412,0.0,,,4,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
deep_15,multicontext_witness,mixed_random,mixed_random,n6|k3|m2|r6|b6,6,2,,3,6,6,,0,0,0,4.7046190119,0.0,,,,,,,,,,VALIDATED / NUMERICAL ONLY,context-indexed supported family
