case_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,invariant_exact,cid,cle_residual,cle_solved,sigma_min_lift,collapse_index,stack_residual,stack_alignment,shared_aug_threshold,shared_aug_found,cid_after_aug,augmentation_gain,projection_stack_residual,projection_mean_context_residual,projection_gain,operator_status,operator_novelty,notes
op_0,redundant,6,4,2,8,1,n6|k4|m2|r1|b8,0,0,4.0667507347342475,4.0667507347342475,0,2.282903783755385e-15,0.9375,4.0667507347342475,0.06702339572251048,,0,3.7606990231680526,0.30605171156619493,4.0667507347342475,4.0667507347342475,0.0,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_1,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,3.3561404710353426,3.3561404710353426,0,8.667747299193573,0.0,2.050346283584424e-15,0.9999999999999993,2,1,1.6616296724220897e-15,3.356140471035341,2.050346283584424e-15,2.2595437227235874e-15,2.0919743913916342e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_2,shared_exact,7,2,2,4,2,n7|k2|m2|r2|b4,0,0,5.2101389564200185,5.2101389564200185,0,5.723475218876374,0.9333333333333333,5.21013895642002,0.07896885324796332,,0,4.045199174779453,1.164939781640565,5.21013895642002,5.2101389564200185,-1.7763568394002505e-15,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_3,local_only,5,3,2,6,4,n5|k3|m2|r4|b6,1,0,4.073365006961088,4.073365006961088,0,7.525476520450673,0.0,1.8742721836921976e-15,0.9999999999999997,1,1,1.1830491410675993e-15,4.073365006961087,1.8742721836921976e-15,2.740450418325963e-15,8.661782346337655e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_4,shared_exact,7,2,2,4,2,n7|k2|m2|r2|b4,0,0,1.6847991527869246,1.6847991527869246,0,7.065575656629719,0.0,1.6847991527869242,0.7192001412022261,,0,1.1995716580266889,0.48522749476023574,1.6847991527869242,1.6847991527869244,2.220446049250313e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_5,geometry_split,5,4,2,8,5,n5|k4|m2|r5|b8,0,0,5.116616746114323,5.116616746114323,0,7.429107998360279,0.0,3.1869396220701337e-15,0.9999999999999993,1,1,5.034099381242389e-15,5.1166167461143175,3.1869396220701337e-15,2.4522491512364324,2.4522491512364293,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_6,mixed_random,7,3,2,6,6,n7|k3|m2|r6|b6,0,0,7.314871599286475,7.314871599286475,0,5.738373653582913,0.0,1.4570001950938731,0.7828032347026753,,0,4.043011422513486,3.2718601767729885,1.4570001950938731,5.5114988880718085,4.054498692977935,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_7,local_only,6,5,2,10,6,n6|k5|m2|r6|b10,1,0,3.480508113550845,3.480508113550845,0,6.896880161410865,0.0,8.645494246698153e-15,0.9999999999999987,2,1,5.634860374059478e-15,3.4805081135508393,8.645494246698153e-15,2.12955927682369e-15,-6.515934969874463e-15,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_8,shared_exact,4,3,2,6,2,n4|k3|m2|r2|b6,0,0,1.9895850706774525,1.9895850706774525,0,5.047568319984898,0.0,1.9895850706774527,0.4862913436936873,2,1,5.102196573270515e-15,1.9895850706774474,1.9895850706774527,1.9895850706774523,-4.440892098500626e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_9,drift_prone,7,2,2,4,3,n7|k2|m2|r3|b4,0,0,0.1051723212399804,0.1051723212399804,0,4.974245096181242,0.0,0.047145909763469086,0.9913923739094832,,0,0.039108913867826986,0.06606340737215341,0.047145909763469086,0.07832174728282536,0.03117583751935627,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_10,local_only,6,4,2,8,5,n6|k4|m2|r5|b8,1,0,3.3662540515367776,3.3662540515367776,0,9.159798007156772,0.0,2.8543745438774784e-15,0.9999999999999992,2,1,4.866020253582432e-15,3.3662540515367727,2.8543745438774784e-15,9.818372682327736e-16,-1.872537275644705e-15,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_11,shared_exact,7,3,2,6,2,n7|k3|m2|r2|b6,0,0,3.9384259477590224,3.9384259477590224,0,6.867571493017082,0.68,3.938425947759023,0.24204957295945295,,0,2.776680880107887,1.1617450676511356,3.938425947759023,3.9384259477590233,4.440892098500626e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_12,drift_prone,6,5,2,10,6,n6|k5|m2|r6|b10,0,0,4.739379655626669,4.739379655626669,0,10.69835509459185,0.0,3.6687789788066426e-15,0.9999999999999993,,0,1.9602873569574395,2.7790922986692292,3.6687789788066426e-15,4.717525422469002,4.717525422468999,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_13,local_only,6,4,2,8,5,n6|k4|m2|r5|b8,1,0,3.3443122519212647,3.3443122519212647,0,9.258682623496028,0.0,1.5553031891404223e-15,0.9999999999999996,2,1,1.7445827094558299e-15,3.344312251921263,1.5553031891404223e-15,2.0177034854429925e-15,4.624002963025702e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_14,drift_prone,6,5,2,10,6,n6|k5|m2|r6|b10,0,0,2.560561120431626,2.560561120431626,0,8.357552441818369,0.0,5.04876895886056e-15,0.9999999999999992,,0,1.858434137002845,0.7021269834287809,5.04876895886056e-15,2.5536650322145014,2.5536650322144965,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_15,shared_exact,6,5,2,10,2,n6|k5|m2|r2|b10,1,1,8.005932084973442e-16,8.005932084973442e-16,1,4.267575570106628,0.0,2.4980018054066022e-15,0.9999999999999993,0,1,0.0,8.005932084973442e-16,2.4980018054066022e-15,6.77599954797753e-16,-1.820401850608849e-15,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_16,local_only,5,2,2,4,3,n5|k2|m2|r3|b4,1,0,2.4772061686006492,2.4772061686006492,0,2.144724171601312,0.0,1.4217791915866692e-15,0.9999999999999996,1,1,1.951593978782523e-15,2.4772061686006475,1.4217791915866692e-15,1.130746789996702e-15,-2.910324015899672e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
op_17,local_only,6,3,2,6,4,n6|k3|m2|r4|b6,1,0,3.108905211937273,3.108905211937273,0,3.128045380972611,0.0,6.181460191301304e-16,0.9999999999999998,1,1,2.507375007574875e-15,3.1089052119372704,6.181460191301304e-16,1.5286216915059438e-15,9.104756723758133e-16,VALIDATED / EMPIRICAL ONLY,REDUCES TO EXISTING OCP LOGIC,CID/CLE/aug functional are useful but largely compatibility reformulations
