witness_id,witness_type,class_name,role,theorem_target,status,n,p,q,k,total_budget,stack_rank,amount_signature,local_exact_all,invariant_exact,agreement_exact,cid,free_threshold,library_defect,library_rank_gain,restricted_found,restricted_rows,notes
pw_0,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,8,5,3,4,20,8,n8|p5|q3|k4|b20,1,1,1,1.5593618942426743e-13,0,0,5,1,0,agreement-lift compatibility satisfied
pw_1,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,8,4,2,4,16,8,n8|p4|q2|k4|b16,1,1,1,4.044931175230247e-14,0,0,6,1,0,agreement-lift compatibility satisfied
pw_2,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,8,4,2,3,12,8,n8|p4|q2|k3|b12,1,1,1,2.0326482703839956e-14,0,0,6,1,0,agreement-lift compatibility satisfied
pw_3,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,9,4,3,2,8,5,n9|p4|q3|k2|b8,1,1,1,2.715511106784476e-14,0,0,5,1,0,agreement-lift compatibility satisfied
pw_4,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,7,4,3,3,12,6,n7|p4|q3|k3|b12,1,1,1,8.196905236120315e-14,0,0,4,1,0,agreement-lift compatibility satisfied
pw_5,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,8,5,3,4,20,8,n8|p5|q3|k4|b20,1,1,1,6.748777200247693e-14,0,0,5,1,0,agreement-lift compatibility satisfied
pw_6,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,9,5,2,2,10,8,n9|p5|q2|k2|b10,1,1,1,4.6386216796848947e-14,0,0,7,1,0,agreement-lift compatibility satisfied
pw_7,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,6,4,2,2,8,6,n6|p4|q2|k2|b8,1,1,1,4.138869196888789e-14,0,0,4,1,0,agreement-lift compatibility satisfied
pw_8,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,6,5,3,3,15,6,n6|p5|q3|k3|b15,1,1,1,3.4194090330940554e-14,0,0,3,1,0,agreement-lift compatibility satisfied
pw_9,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,8,5,2,3,15,8,n8|p5|q2|k3|b15,1,1,1,3.824279200613919e-14,0,0,6,1,0,agreement-lift compatibility satisfied
pw_10,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,9,5,3,3,15,9,n9|p5|q3|k3|b15,1,1,1,2.1999768800341515e-14,0,0,6,1,0,agreement-lift compatibility satisfied
pw_11,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,7,5,2,4,20,7,n7|p5|q2|k4|b20,1,1,1,2.5103073074894707e-14,0,0,5,1,0,agreement-lift compatibility satisfied
pw_12,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,9,5,2,3,15,9,n9|p5|q2|k3|b15,1,1,1,3.778217981805705e-14,0,0,7,1,0,agreement-lift compatibility satisfied
pw_13,A,Compatibility-Organized Recoverable Systems,positive,characterization_and_strong_sufficiency,PROVED ON SUPPORTED FAMILY,6,4,3,4,16,6,n6|p4|q3|k4|b16,1,1,1,8.353132747096148e-14,0,0,3,1,0,agreement-lift compatibility satisfied
