theta,F_Q,F_M_Z,F_M_X,alpha_Z,alpha_X
0,1,1,1,1,1
0.0314159265359,1,1,1,1,1
0.0628318530718,1,1,1,1,1
0.0942477796077,1,1,1,1,1
0.125663706144,1,1,1,1,1
0.157079632679,1,1,1,1,1
0.188495559215,1,1,1,1,1
0.219911485751,1,1,1,1,1
0.251327412287,1,1,1,1,1
0.282743338823,1,1,1,1,1
0.314159265359,1,1,1,1,1
0.345575191895,1,1,1,1,1
0.376991118431,1,1,1,1,1
0.408407044967,1,1,1,1,1
0.439822971503,1,1,1,1,1
0.471238898038,1,1,1,1,1
0.502654824574,1,1,1,1,1
0.53407075111,1,1,1,1,1
0.565486677646,1,1,1,1,1
0.596902604182,1,1,1,1,1
0.628318530718,1,1,1,1,1
0.659734457254,1,1,1,1,1
0.69115038379,1,1,1,1,1
0.722566310326,1,1,1,1,1
0.753982236862,1,1,1,1,1
0.785398163397,1,1,1,1,1
0.816814089933,1,1,1,1,1
0.848230016469,1,1,1,1,1
0.879645943005,1,1,1,1,1
0.911061869541,1,1,1,1,1
0.942477796077,1,1,1,1,1
0.973893722613,1,1,1,1,1
1.00530964915,1,1,1,1,1
1.03672557568,1,1,1,1,1
1.06814150222,1,1,1,1,1
1.09955742876,1,1,1,1,1
1.13097335529,1,1,1,1,1
1.16238928183,1,1,1,1,1
1.19380520836,1,1,1,1,1
1.2252211349,1,1,1,1,1
1.25663706144,1,1,1,1,1
1.28805298797,1,1,1,1,1
1.31946891451,1,1,1,1,1
1.35088484104,1,1,1,1,1
1.38230076758,1,1,1,1,1
1.41371669412,1,1,1,1,1
1.44513262065,1,1,1,1,1
1.47654854719,1,1,1,1,1
1.50796447372,1,1,1,1,1
1.53938040026,1,1,1,1,1
1.57079632679,1,1,1,1,1
1.60221225333,1,1,1,1,1
1.63362817987,1,1,1,1,1
1.6650441064,1,1,1,1,1
1.69646003294,1,1,1,1,1
1.72787595947,1,1,1,1,1
1.75929188601,1,1,1,1,1
1.79070781255,1,1,1,1,1
1.82212373908,1,1,1,1,1
1.85353966562,1,1,1,1,1
1.88495559215,1,1,1,1,1
1.91637151869,1,1,1,1,1
1.94778744523,1,1,1,1,1
1.97920337176,1,1,1,1,1
2.0106192983,1,1,1,1,1
2.04203522483,1,1,1,1,1
2.07345115137,1,1,1,1,1
2.10486707791,1,1,1,1,1
2.13628300444,1,1,1,1,1
2.16769893098,1,1,1,1,1
2.19911485751,1,1,1,1,1
2.23053078405,1,1,1,1,1
2.26194671058,1,1,1,1,1
2.29336263712,1,1,1,1,1
2.32477856366,1,1,1,1,1
2.35619449019,1,1,1,1,1
2.38761041673,1,1,1,1,1
2.41902634326,1,1,1,1,1
2.4504422698,1,1,1,1,1
2.48185819634,1,1,1,1,1
2.51327412287,1,1,1,1,1
2.54469004941,1,1,1,1,1
2.57610597594,1,1,1,1,1
2.60752190248,1,1,1,1,1
2.63893782902,1,1,1,1,1
2.67035375555,1,1,1,1,1
2.70176968209,1,1,1,1,1
2.73318560862,1,1,1,1,1
2.76460153516,1,1,1,1,1
2.79601746169,1,1,1,1,1
2.82743338823,1,1,1,1,1
2.85884931477,1,1,1,1,1
2.8902652413,1,1,1,1,1
2.92168116784,1,1,1,1,1
2.95309709437,1,1,1,1,1
2.98451302091,1,1,1,1,1
3.01592894745,1,1,1,1,1
3.04734487398,1,1,1,1,1
3.07876080052,1,1,1,1,1
3.11017672705,1,1,1,1,1
3.14159265359,1,1,1,1,1
