sensor_profile,active_sensor_count,protected_index,horizon,predicted_min_horizon,exact_recoverable,rank_observation,rank_protected,collision_max_protected_distance,mean_recovery_error,max_recovery_error,interpolation_residual
three_active,3,2,1,3,False,1,1,1.9999999999999998,0.5714285714285714,1.0,
three_active,3,2,2,3,False,2,1,1.9999999999999987,0.5714285714285714,1.0,
three_active,3,2,3,3,True,3,1,0.0,2.6064022983940556e-14,9.00390872971002e-14,3.552713678800501e-15
three_active,3,2,4,3,True,3,1,0.0,7.512293346508822e-15,3.552713678800501e-14,3.552713678800501e-15
two_active,2,2,1,2,False,1,1,2.0,0.5714285714285714,1.0,
two_active,2,2,2,2,True,2,1,0.0,1.8511269614668426e-15,5.329070518200751e-15,4.440892098500626e-16
two_active,2,2,3,2,True,2,1,0.0,1.375317093770347e-15,3.552713678800501e-15,4.440892098500626e-16
two_active,2,2,4,2,True,2,1,0.0,1.907770993335473e-15,4.773959005888173e-15,4.440892098500626e-16
protected_hidden,2,2,1,,False,1,1,2.0,0.5714285714285714,1.0,
protected_hidden,2,2,2,,False,2,1,2.0,0.5714285714285714,1.0,
protected_hidden,2,2,3,,False,2,1,2.0,0.5714285714285714,1.0,
protected_hidden,2,2,4,,False,2,1,2.0,0.5714285714285714,1.0,
