case_name,functional_name,support_size,polynomial_degree,horizon,predicted_min_horizon,observed_min_horizon,exact_recoverable,rowspace_residual,collision_gap,mean_recovery_error,max_recovery_error
four_active,degree_0_constant,4,0,1,1,1,True,1.2719202621569003e-16,7.771561172376096e-16,0.0,0.0
four_active,degree_0_constant,4,0,2,1,1,True,5.064917260848195e-16,4.440892098500626e-16,2.648536501226317e-16,8.881784197001252e-16
four_active,degree_0_constant,4,0,3,1,1,True,8.585585147181251e-15,0.0,2.2807365525068235e-15,6.217248937900877e-15
four_active,degree_0_constant,4,0,4,1,1,True,1.2664763313167397e-13,0.0,9.423348262060927e-14,2.6201263381153694e-13
four_active,degree_0_constant,4,0,5,1,1,True,4.4205152575982957e-14,0.0,2.5250880553162604e-14,6.261657858885883e-14
four_active,degree_1_affine,4,1,1,2,2,False,0.16243201015218006,0.5808,0.09322230025974025,0.316121212121212
four_active,degree_1_affine,4,1,2,2,2,True,1.0950489174571622e-15,1.1102230246251565e-16,5.819233983572758e-16,1.7763568394002505e-15
four_active,degree_1_affine,4,1,3,2,2,True,4.560220801727704e-15,0.0,2.7624005900506176e-15,7.549516567451064e-15
four_active,degree_1_affine,4,1,4,2,2,True,4.9096405048520415e-14,0.0,3.397552239547963e-14,9.170442183403793e-14
four_active,degree_1_affine,4,1,5,2,2,True,1.599282583256234e-14,0.0,9.351919239009021e-15,2.3092638912203256e-14
four_active,degree_2_quadratic,4,2,1,3,3,False,0.12800702994836669,0.4517120000000001,0.07340505418989901,0.24975838383838392
four_active,degree_2_quadratic,4,2,2,3,3,False,0.011247288319419823,0.033408000000000104,0.006493096514843816,0.01947507630427009
four_active,degree_2_quadratic,4,2,3,3,3,True,3.2848169680256904e-15,0.0,1.5472623182688495e-15,4.440892098500626e-15
four_active,degree_2_quadratic,4,2,4,3,3,True,4.4590435784213296e-14,0.0,1.158015350277708e-14,3.4861002973229915e-14
four_active,degree_2_quadratic,4,2,5,3,3,True,1.474657317483889e-14,0.0,1.9442131238278647e-14,5.084821452783217e-14
four_active,degree_3_cubic,4,3,1,4,4,False,0.24966128370332624,0.8756316000000002,0.14325428631272727,0.48707963636363644
four_active,degree_3_cubic,4,3,2,4,4,False,0.029583261587559834,0.08791199999999988,0.017066309275786687,0.051996373603366064
four_active,degree_3_cubic,4,3,3,4,4,False,0.0012023043759956493,0.0033696000000001786,0.0006944766876706814,0.0021350825884930424
four_active,degree_3_cubic,4,3,4,4,4,True,6.490559461336811e-14,0.0,2.4004909171537748e-15,7.327471962526033e-15
four_active,degree_3_cubic,4,3,5,4,4,True,2.1180705120124634e-14,0.0,1.3077561256125136e-14,3.019806626980426e-14
hidden_last,degree_1_affine,3,1,1,2,2,False,0.04834327278571109,0.1551999999999999,0.02790921831610044,0.08170162481536186
hidden_last,degree_1_affine,3,1,2,2,2,True,5.661048867003676e-16,2.220446049250313e-16,4.299338662860919e-16,1.3322676295501878e-15
hidden_last,degree_1_affine,3,1,3,2,2,True,9.575150641977675e-15,0.0,3.391776443040229e-15,8.43769498715119e-15
hidden_last,degree_1_affine,3,1,4,2,2,True,2.3347702487811585e-15,0.0,9.291456493087935e-16,2.3314683517128287e-15
hidden_last,degree_1_affine,3,1,5,2,2,True,1.1827914066321619e-15,0.0,2.2445795222481025e-15,5.773159728050814e-15
hidden_last,hidden_coordinate,1,,1,,,False,1.0,2.0,0.6,1.0
hidden_last,hidden_coordinate,1,,2,,,False,1.0,2.0,0.6,1.0
hidden_last,hidden_coordinate,1,,3,,,False,1.0,2.0,0.6,1.0
hidden_last,hidden_coordinate,1,,4,,,False,1.0,2.0,0.6,1.0
hidden_last,hidden_coordinate,1,,5,,,False,1.0,2.0,0.6,1.0
