epsilon,horizon,exact_recoverable,collision_max_protected_distance,recoverability_margin,mean_recovery_error,max_recovery_error
0.0,1,False,2.0,6.123233995736766e-17,0.5555555555555556,1.0
0.0,2,False,2.0,8.445846592429595e-17,0.5555555555555556,1.0
0.0,3,False,2.0,1.0093137152281876e-16,0.5555555555555556,1.0
0.05,1,False,2.0,0.002407779283041214,0.5555555555555556,1.0
0.05,2,True,0.0,0.010990280121179271,4.254484282020353e-15,1.4210854715202004e-14
0.05,3,True,0.0,0.01832515267781545,6.7470035045893004e-15,1.4210854715202004e-14
0.1,1,False,1.9999999999999998,0.0037109518024613266,0.5555555555555556,1.0
0.1,2,True,0.0,0.02201496948730383,2.6371223449121e-15,7.105427357601002e-15
0.1,3,True,0.0,0.03662701995250881,3.695260832579533e-15,1.0658141036401503e-14
0.2,1,False,2.0,0.0034522994236990765,0.5555555555555556,1.0
0.2,2,True,0.0,0.043658716693152036,6.003428207232328e-16,3.552713678800501e-15
0.2,3,True,0.0,0.07236560974329942,8.518563084006602e-16,2.6645352591003757e-15
0.35,1,False,2.0,0.004118572530697997,0.5555555555555556,1.0
0.35,2,True,0.0,0.07614789656460912,4.6876083261951055e-16,1.7763568394002505e-15
0.35,3,True,0.0,0.1264770063352502,4.194175870806147e-16,8.881784197001252e-16
0.5,1,False,2.0,0.0014183919465680576,0.5555555555555556,1.0
0.5,2,True,0.0,0.10875331805371477,8.840664825718839e-16,2.6645352591003757e-15
0.5,3,True,0.0,0.1807738086657105,3.2484303313106433e-16,1.3322676295501878e-15
0.8,1,False,2.0,0.004564083332171818,0.5555555555555556,1.0
0.8,2,True,0.0,0.17417424441252952,2.1107943924972112e-16,8.881784197001252e-16
0.8,3,True,0.0,0.28905991637596445,4.187322642259078e-16,1.3322676295501878e-15
