functional_name,cutoff,predicted_min_cutoff,exact_recoverable,rank_observation,rank_protected,collision_max_protected_distance,mean_recovery_error,max_recovery_error
low_mode_sum,0,2,False,0,1,4.0,0.7619047619047619,2.0
low_mode_sum,1,2,False,1,1,2.0000000000000004,0.5714285714285714,1.0000000000000009
low_mode_sum,2,2,True,2,1,4.159367000539444e-16,4.740675083471031e-16,1.1102230246251565e-15
low_mode_sum,3,2,True,3,1,0.0,6.166283527959398e-16,1.9984014443252818e-15
low_mode_sum,4,2,True,4,1,0.0,1.5703005918443154e-15,5.329070518200751e-15
bandlimited_contrast,0,3,False,0,1,4.0,0.7619047619047619,2.0
bandlimited_contrast,1,3,False,1,1,4.0,0.7619047619047619,2.0
bandlimited_contrast,2,3,False,2,1,1.9999999999999996,0.5714285714285713,1.0
bandlimited_contrast,3,3,True,3,1,0.0,9.447168729766063e-17,4.440892098500626e-16
bandlimited_contrast,4,3,True,4,1,0.0,4.701067306842026e-16,1.2556238572345161e-15
full_weighted_sum,0,4,False,0,1,5.0,0.7451062057476051,2.5
full_weighted_sum,1,4,False,1,1,3.0,0.5131195335276968,1.5000000000000004
full_weighted_sum,2,4,False,2,1,1.9999999999999998,0.4489795918367347,1.0000000000000009
full_weighted_sum,3,4,False,3,1,0.5000000000000001,0.142857142857143,0.2500000000000022
full_weighted_sum,4,4,True,4,1,0.0,1.2108851513884908e-15,4.440892098500626e-15
