case_name,functional_name,support_size,cutoff,predicted_min_cutoff,observed_min_cutoff,exact_recoverable,rowspace_residual,collision_gap,mean_recovery_error,max_recovery_error
strict_cutoffs,low_mode_sum,2,0,2,2,False,1.4142135623730951,4.0,0.8,2.0
strict_cutoffs,low_mode_sum,2,1,2,2,False,1.0,2.0,0.6000000000000001,1.000000000000001
strict_cutoffs,low_mode_sum,2,2,2,2,True,1.180042639720807e-15,9.377929856969516e-16,6.961710131363703e-16,2.0219759011585382e-15
strict_cutoffs,low_mode_sum,2,3,2,2,True,1.0812041021100161e-15,0.0,7.06699149962926e-16,1.6653345369377348e-15
strict_cutoffs,low_mode_sum,2,4,2,2,True,1.983749850772315e-15,0.0,8.931827011649566e-16,2.6645352591003757e-15
strict_cutoffs,bandlimited_contrast,2,0,3,3,False,1.4142135623730951,4.0,0.8,2.0
strict_cutoffs,bandlimited_contrast,2,1,3,3,False,1.4142135623730951,4.0,0.8,2.0
strict_cutoffs,bandlimited_contrast,2,2,3,3,False,0.9999999999999997,1.9999999999999996,0.5999999999999999,1.0
strict_cutoffs,bandlimited_contrast,2,3,3,3,True,1.859210981405836e-15,0.0,9.094943765311397e-16,2.6645352591003757e-15
strict_cutoffs,bandlimited_contrast,2,4,3,3,True,3.102272747087287e-15,0.0,1.690348373858338e-15,3.774758283725532e-15
strict_cutoffs,full_weighted_sum,4,0,4,4,False,1.3693063937629153,5.0,0.7904,2.5
strict_cutoffs,full_weighted_sum,4,1,4,4,False,0.9354143466934854,3.0,0.544,1.5000000000000009
strict_cutoffs,full_weighted_sum,4,2,4,4,False,0.7905694150420948,1.9999999999999998,0.48,1.0000000000000018
strict_cutoffs,full_weighted_sum,4,3,4,4,False,0.25000000000000017,0.5000000000000003,0.1500000000000003,0.2500000000000031
strict_cutoffs,full_weighted_sum,4,4,4,4,True,2.029765833053945e-15,0.0,1.3540189697134102e-15,4.884981308350689e-15
repeated_cutoffs,repeated_cutoff_mass,3,0,2,2,False,1.7320508075688772,6.0,0.984,3.0
repeated_cutoffs,repeated_cutoff_mass,3,1,2,2,False,1.7320508075688772,6.000000000000001,0.984,3.0
repeated_cutoffs,repeated_cutoff_mass,3,2,2,2,True,8.416570932119391e-16,0.0,7.393730191633909e-16,2.4424906541753444e-15
repeated_cutoffs,repeated_cutoff_mass,3,3,2,2,True,7.153173364435634e-16,0.0,3.946293187299534e-16,1.3322676295501878e-15
repeated_cutoffs,mixed_tail,3,0,3,3,False,0.6164414002968976,2.0,0.36,1.0
repeated_cutoffs,mixed_tail,3,1,3,3,False,0.58309518948453,1.6,0.344,0.8000000000000003
repeated_cutoffs,mixed_tail,3,2,3,3,False,0.49999999999999994,0.9999999999999999,0.3,0.5000000000000004
repeated_cutoffs,mixed_tail,3,3,3,3,True,4.56458538214665e-16,0.0,2.861220816974394e-16,1.1102230246251565e-15
