delta,collapse,upper_bound
0.0,0.0,0.0
0.16666666666666666,0.0,0.18633899812498247
0.3333333333333333,0.0,0.37267799624996495
0.5,0.5,0.5590169943749475
0.6666666666666666,0.5,0.7453559924999299
0.8333333333333333,0.75,0.9316949906249123
1.0,1.0,1.118033988749895
1.1666666666666665,1.25,1.3043729868748772
1.3333333333333333,1.25,1.4907119849998598
1.5,1.5,1.6770509831248424
1.6666666666666665,1.75,1.8633899812498247
1.8333333333333333,2.0,2.049728979374807
2.0,2.0,2.23606797749979
2.1666666666666665,2.25,2.422406975624772
2.333333333333333,2.5,2.6087459737497545
2.5,2.75,2.7950849718747373
2.6666666666666665,2.75,2.9814239699997196
2.833333333333333,3.0,3.167762968124702
3.0,3.0,3.3541019662496847
3.1666666666666665,3.0,3.540440964374667
3.333333333333333,3.0,3.7267799624996494
3.5,3.0,3.913118960624632
3.6666666666666665,3.0,4.099457958749614
3.833333333333333,3.0,4.285796956874597
4.0,3.0,4.47213595499958
