bridge_case_id,source_family_id,mechanism,pre_local_exact,pre_invariant_exact,post_local_exact,post_invariant_exact,pre_lifted_residual_norm,post_lifted_residual_norm,pre_free_aug_threshold,post_free_aug_threshold,pre_restricted_aug_threshold,post_restricted_aug_threshold,local_gain_shared_loss_flag,threshold_worsened_flag,threshold_improved_flag,notes
fdeep_0,ao_pair_0_good,constraint_generation,1,1,1,1,8.869910196175953e-13,2.4512960087842513e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_1,ao_pair_0_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_2,ao_pair_1_good,intervention_cleaning,1,1,1,1,8.10524978081228e-13,2.0381468785148046e-11,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_3,ao_pair_1_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_4,ao_pair_2_good,context_conditioned_differentiation,1,1,0,0,1.2031129934424425e-13,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_5,ao_pair_2_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_6,ao_pair_3_good,context_drift,1,1,0,0,3.5012512644019294e-13,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_7,ao_pair_3_bad,intervention_cleaning,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_8,ao_pair_4_good,optimization_induced,1,1,1,0,1.2786684918934496e-13,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_9,ao_pair_4_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_10,ao_pair_5_good,constraint_generation,1,1,1,1,9.955921491304566e-14,7.954653063461687e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_11,ao_pair_5_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
