formation_case_id,mechanism,n,k_contexts,pre_local_exact,pre_shared_exact,post_local_exact,post_shared_exact,pre_context_gap,post_context_gap,pre_alignment,post_alignment,pre_dls,post_dls,structure_created_flag,recoverability_change_shared,recoverability_change_local,pre_shared_aug_threshold,post_shared_aug_threshold,threshold_flip_flag,notes
fsec_0,constraint_generation,6,2,0,0,1,1,0,0,0.2667149215,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_1,symmetry_breaking,7,2,0,0,1,0,0,1,0.0306418761,1.0,0.9038961039,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_2,context_conditioned_differentiation,7,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_3,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_4,feedback_induced_structure,5,2,0,0,0,0,0,0,0.5286987555,0.4950324448,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_5,local_to_global_organization,4,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_6,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_7,constraint_generation,7,2,0,0,1,1,0,0,0.4080370214,1.0,1.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_8,symmetry_breaking,5,2,0,0,1,0,0,1,0.2550536563,1.0,0.8214285714,0.0,1,0,1,4,1,1,EXPLORATION/NON-PROMOTED
fsec_9,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_10,intervention_generated_structure,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_11,feedback_induced_structure,5,2,0,0,0,0,0,0,0.5322928267,0.3612602001,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_12,local_to_global_organization,5,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_13,optimization_induced_structure,5,2,0,0,0,0,0,0,0.9865744597,0.875,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_14,constraint_generation,5,2,0,0,1,1,0,0,0.7693966348,1.0,0.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_15,symmetry_breaking,6,2,0,0,1,0,0,1,0.0006889426,1.0,0.9056603774,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_16,context_conditioned_differentiation,6,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
