formation_id,route,n,pre_m,post_m,pre_rank,post_rank,pre_exact,post_exact,pre_dls,post_dls,pre_alignment,post_alignment,new_structure_flag,recoverability_change,notes
form_2470,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.11898975,1.0,1,1,
form_2471,constraint_generation,5,2,3,2,3,0,1,0.88888889,0.0,0.06458565,1.0,1,1,
form_2472,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.10726142,1.0,1,1,
form_2473,constraint_generation,5,2,3,2,3,0,1,0.11111111,0.0,0.45227744,1.0,1,1,
form_2474,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.21092364,1.0,1,1,
form_2475,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.07875942,1.0,1,1,
form_2476,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.20886203,1.0,1,1,
form_2477,constraint_generation,5,2,3,2,3,0,1,0.33333333,0.0,0.0171099,1.0,1,1,
form_2478,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.0322666,1.0,1,1,
form_2479,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.08020016,1.0,1,1,
form_2480,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.34299568,1.0,1,1,
form_2481,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.11993761,1.0,1,1,
form_2482,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.86503728,1.0,1,1,
form_2483,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.49382893,1.0,1,1,
form_2484,constraint_generation,5,2,3,2,3,0,1,0.5,0.0,0.02014595,1.0,1,1,
form_2485,constraint_generation,5,2,3,2,3,0,1,0.9,0.0,0.29054011,1.0,1,1,
form_2486,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.19115064,1.0,1,1,
form_2487,constraint_generation,5,2,3,2,3,0,1,0.33333333,0.0,0.71842605,1.0,1,1,
form_2488,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.56047546,1.0,1,1,
form_2489,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.26373971,1.0,1,1,
form_2490,constraint_generation,5,2,3,2,3,0,1,0.9,0.0,0.01481563,1.0,1,1,
form_2491,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.26401993,1.0,1,1,
form_2492,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.0913849,1.0,1,1,
form_2493,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.27942331,1.0,1,1,
form_2494,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.21937525,1.0,1,1,
form_2495,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.66302357,1.0,1,1,
form_2496,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.11237464,1.0,1,1,
form_2497,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.18007994,1.0,1,1,
form_2498,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.134214,1.0,1,1,
form_2499,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.41098491,1.0,1,1,
form_2500,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.73608384,1.0,1,1,
form_2501,constraint_generation,5,2,3,2,3,0,1,0.8,0.0,0.13835956,1.0,1,1,
form_2502,constraint_generation,5,2,3,2,3,0,1,0.66666667,0.0,0.37123229,1.0,1,1,
form_2503,constraint_generation,5,2,3,2,3,0,1,0.9,0.0,0.08605574,1.0,1,1,
form_2504,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.5635068,1.0,1,1,
form_2505,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.49961612,1.0,1,1,
form_2506,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.87248466,1.0,1,1,
form_2507,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.20227596,1.0,1,1,
form_2508,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.01746859,1.0,1,1,
form_2509,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.03021848,1.0,1,1,
form_2510,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.08364387,1.0,1,1,
form_2511,constraint_generation,5,2,3,2,3,0,1,0.33333333,0.0,0.02906393,1.0,1,1,
form_2512,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.34615107,1.0,1,1,
form_2513,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.48893908,1.0,1,1,
form_2514,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.3111428,1.0,1,1,
form_2515,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.15509004,1.0,1,1,
form_2516,constraint_generation,5,2,3,2,3,0,1,0.75,0.0,0.05600369,1.0,1,1,
form_2517,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.01845778,1.0,1,1,
form_2518,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.11713999,1.0,1,1,
form_2519,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.20702104,1.0,1,1,
form_2520,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.75510605,1.0,1,1,
form_2521,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.23969804,1.0,1,1,
form_2522,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.17963967,1.0,1,1,
form_2523,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.04617475,1.0,1,1,
form_2524,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.01362789,1.0,1,1,
form_2525,constraint_generation,5,2,3,2,3,0,1,0.42857143,0.0,0.38762756,1.0,1,1,
form_2526,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.03728028,1.0,1,1,
form_2527,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.06918865,1.0,1,1,
form_2528,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.15996406,1.0,1,1,
form_2529,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.19349986,1.0,1,1,
form_2530,constraint_generation,5,2,3,2,3,0,1,0.11111111,0.0,0.11957514,1.0,1,1,
form_2531,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.022225,1.0,1,1,
form_2532,constraint_generation,5,2,3,2,3,0,1,0.2,0.0,0.51010205,1.0,1,1,
form_2533,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.16191829,1.0,1,1,
form_2534,constraint_generation,5,2,3,2,3,0,1,0.8,0.0,0.44098301,1.0,1,1,
form_2535,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.07536761,1.0,1,1,
form_2536,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.2379621,1.0,1,1,
form_2537,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.06894474,1.0,1,1,
form_2538,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.0136902,1.0,1,1,
form_2539,constraint_generation,5,2,3,2,3,0,1,0.5,0.0,0.08505672,1.0,1,1,
form_2540,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.29827053,1.0,1,1,
form_2541,constraint_generation,5,2,3,2,3,0,1,1.0,0.0,0.62284401,1.0,1,1,
form_2542,constraint_generation,5,2,3,2,3,0,1,0.8,0.0,0.20664525,1.0,1,1,
form_2543,constraint_generation,5,2,3,2,3,0,1,0.91666667,0.0,0.05719096,1.0,1,1,
form_2544,constraint_generation,5,2,3,2,3,0,1,0.0,0.0,0.24451986,1.0,1,1,
