anomaly_id,type,family,n,contexts,descriptor_signature,local_exact,global_exact,fragility_metric,trigger,notes
p_ctx_flip_700,context_drift_flip,multi_context_shared,6,3,n6|m6|r2|i-48.60,0,0,0.41151305,eps=0.09911,global verdict changed under context drift
p_ctx_flip_701,context_drift_flip,multi_context_shared,4,3,n4|m6|r2|i-50.02,0,0,0.03889756,eps=0.01709,global verdict changed under context drift
p_ctx_702,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-21.28,1,0,2.05250236,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_703,local_exact_global_fail,multi_context_shared,4,2,n4|m4|r2|i-21.27,1,0,2.05798302,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_704,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-47.35,1,0,2.99379608,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_706,context_drift_flip,multi_context_shared,5,3,n5|m6|r2|i-48.63,0,0,0.14752101,eps=0.03726,global verdict changed under context drift
p_ctx_707,local_exact_global_fail,multi_context_shared,6,2,n6|m4|r2|i-20.27,1,0,1.86195384,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_708,context_drift_flip,multi_context_shared,6,2,n6|m4|r2|i-21.54,0,0,0.1661444,eps=0.04375,global verdict changed under context drift
p_ctx_709,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.29,1,0,3.70249514,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_flip_710,context_drift_flip,multi_context_shared,5,2,n5|m4|r2|i-24.30,0,0,0.59291643,eps=0.09229,global verdict changed under context drift
p_ctx_711,local_exact_global_fail,multi_context_shared,6,3,n6|m6|r2|i-46.85,1,0,3.33151291,shared_decoder_constraint,each context individually exact but no shared decoder
p_ctx_712,local_exact_global_fail,multi_context_shared,5,3,n5|m6|r2|i-52.17,1,0,0.70710678,shared_decoder_constraint,each context individually exact but no shared decoder
