series_id,family,step,n,m_total,rank,exact,dls,alignment,flip_vs_prev,driver
single_thr_0,single_context,1,6,4,4,0,0.0,0.89592221,0,one_measurement_augmentation
single_thr_0,single_context,2,6,5,5,0,0.0,0.93064189,0,one_measurement_augmentation
single_thr_0,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_1,single_context,1,7,2,2,0,0.55737705,0.33303548,0,one_measurement_augmentation
single_thr_1,single_context,2,7,3,3,0,0.04761905,0.391617,0,one_measurement_augmentation
single_thr_1,single_context,3,7,4,4,0,0.0,0.42400251,0,one_measurement_augmentation
single_thr_2,single_context,1,4,3,3,0,0.0,0.77708871,0,one_measurement_augmentation
single_thr_2,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_2,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_3,single_context,1,7,3,3,0,0.48275862,0.41306951,0,one_measurement_augmentation
single_thr_3,single_context,2,7,4,4,0,0.0,0.47529049,0,one_measurement_augmentation
single_thr_3,single_context,3,7,5,5,0,0.0,0.97155859,0,one_measurement_augmentation
single_thr_4,single_context,1,6,5,5,0,0.0,0.68297892,0,one_measurement_augmentation
single_thr_4,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_4,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_5,single_context,1,7,4,4,0,0.0,0.40051954,0,one_measurement_augmentation
single_thr_5,single_context,2,7,5,5,0,0.0,0.40270268,0,one_measurement_augmentation
single_thr_5,single_context,3,7,6,6,0,0.0,0.67141069,0,one_measurement_augmentation
single_thr_6,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_6,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_6,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_7,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_7,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_7,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_8,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_8,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_8,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_9,single_context,1,5,3,3,0,1.0,0.49764705,0,one_measurement_augmentation
single_thr_9,single_context,2,5,4,4,0,0.0,0.95143571,0,one_measurement_augmentation
single_thr_9,single_context,3,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_10,single_context,1,4,3,3,0,0.0,0.27138791,0,one_measurement_augmentation
single_thr_10,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_10,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_11,single_context,1,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_11,single_context,2,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_11,single_context,3,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_12,single_context,1,5,3,3,0,0.0,0.93416563,0,one_measurement_augmentation
single_thr_12,single_context,2,5,4,4,0,0.0,0.95072689,0,one_measurement_augmentation
single_thr_12,single_context,3,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_13,single_context,1,7,4,4,0,0.0,0.39118551,0,one_measurement_augmentation
single_thr_13,single_context,2,7,5,5,0,0.0,0.56213198,0,one_measurement_augmentation
single_thr_13,single_context,3,7,6,6,0,0.0,0.81015161,0,one_measurement_augmentation
single_thr_14,single_context,1,6,3,3,0,1.0,0.7119366,0,one_measurement_augmentation
single_thr_14,single_context,2,6,4,4,0,0.0,0.73155879,0,one_measurement_augmentation
single_thr_14,single_context,3,6,5,5,0,0.0,0.96224847,0,one_measurement_augmentation
single_thr_15,single_context,1,5,4,4,0,0.0,0.90958768,0,one_measurement_augmentation
single_thr_15,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_15,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_16,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_16,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_16,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_17,single_context,1,6,2,2,0,0.65517241,0.44369275,0,one_measurement_augmentation
single_thr_17,single_context,2,6,3,3,0,1.0,0.48441753,0,one_measurement_augmentation
single_thr_17,single_context,3,6,4,4,0,0.0,0.64003948,0,one_measurement_augmentation
single_thr_18,single_context,1,7,3,3,0,0.35714286,0.047024,0,one_measurement_augmentation
single_thr_18,single_context,2,7,4,4,0,0.0,0.21849125,0,one_measurement_augmentation
single_thr_18,single_context,3,7,5,5,0,0.0,0.25831168,0,one_measurement_augmentation
single_thr_19,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_19,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_19,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_20,single_context,1,5,2,2,0,1.0,0.01871916,0,one_measurement_augmentation
single_thr_20,single_context,2,5,3,3,0,0.0,0.17173457,0,one_measurement_augmentation
single_thr_20,single_context,3,5,4,4,0,0.0,0.18144227,0,one_measurement_augmentation
single_thr_21,single_context,1,7,2,2,0,0.51020408,0.28649393,0,one_measurement_augmentation
single_thr_21,single_context,2,7,3,3,0,0.3125,0.38848441,0,one_measurement_augmentation
single_thr_21,single_context,3,7,4,4,0,0.0,0.51535037,0,one_measurement_augmentation
single_thr_22,single_context,1,6,4,4,0,1.0,0.51492875,0,one_measurement_augmentation
single_thr_22,single_context,2,6,5,5,0,0.0,0.75381702,0,one_measurement_augmentation
single_thr_22,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_23,single_context,1,6,5,5,0,0.0,0.80533429,0,one_measurement_augmentation
single_thr_23,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_23,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_24,single_context,1,7,3,3,0,0.375,0.03694122,0,one_measurement_augmentation
single_thr_24,single_context,2,7,4,4,0,0.03846154,0.83615824,0,one_measurement_augmentation
single_thr_24,single_context,3,7,5,5,0,0.0,0.86575068,0,one_measurement_augmentation
single_thr_25,single_context,1,6,4,4,0,0.0,0.81358118,0,one_measurement_augmentation
single_thr_25,single_context,2,6,5,5,0,0.0,0.90069273,0,one_measurement_augmentation
single_thr_25,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_26,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_26,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_26,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_27,single_context,1,6,2,2,0,0.875,0.30436501,0,one_measurement_augmentation
single_thr_27,single_context,2,6,3,3,0,0.0,0.57052651,0,one_measurement_augmentation
single_thr_27,single_context,3,6,4,4,0,0.0,0.57123681,0,one_measurement_augmentation
single_thr_28,single_context,1,6,2,2,0,0.85714286,0.49904306,0,one_measurement_augmentation
single_thr_28,single_context,2,6,3,3,0,0.0,0.81411116,0,one_measurement_augmentation
single_thr_28,single_context,3,6,4,4,0,0.0,0.84260966,0,one_measurement_augmentation
single_thr_29,single_context,1,5,4,4,0,0.0,0.59295421,0,one_measurement_augmentation
single_thr_29,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_29,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_30,single_context,1,6,5,5,0,0.0,0.69116422,0,one_measurement_augmentation
single_thr_30,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_30,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_31,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_31,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_31,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_32,single_context,1,7,3,3,0,0.42105263,0.10752424,0,one_measurement_augmentation
single_thr_32,single_context,2,7,4,4,0,0.0,0.25442983,0,one_measurement_augmentation
single_thr_32,single_context,3,7,5,5,0,0.0,0.49374858,0,one_measurement_augmentation
single_thr_33,single_context,1,7,3,3,0,0.3,0.06772706,0,one_measurement_augmentation
single_thr_33,single_context,2,7,4,4,0,0.0,0.09065241,0,one_measurement_augmentation
single_thr_33,single_context,3,7,5,5,0,0.0,0.11338782,0,one_measurement_augmentation
single_thr_34,single_context,1,6,4,4,0,1.0,0.54308514,0,one_measurement_augmentation
single_thr_34,single_context,2,6,5,5,0,0.0,0.55354892,0,one_measurement_augmentation
single_thr_34,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_35,single_context,1,6,2,2,0,0.28571429,0.33245672,0,one_measurement_augmentation
single_thr_35,single_context,2,6,3,3,0,0.0,0.43981473,0,one_measurement_augmentation
single_thr_35,single_context,3,6,4,4,0,0.0,0.54028701,0,one_measurement_augmentation
single_thr_36,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_36,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_36,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_37,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_37,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_37,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_38,single_context,1,6,4,4,0,0.0,0.44117919,0,one_measurement_augmentation
single_thr_38,single_context,2,6,5,5,0,0.0,0.78362884,0,one_measurement_augmentation
single_thr_38,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_39,single_context,1,7,5,5,0,0.0,0.93855145,0,one_measurement_augmentation
single_thr_39,single_context,2,7,6,6,0,0.0,0.94528878,0,one_measurement_augmentation
single_thr_39,single_context,3,7,7,7,1,0.0,1.0,1,one_measurement_augmentation
single_thr_40,single_context,1,5,2,2,0,1.0,0.0,0,one_measurement_augmentation
single_thr_40,single_context,2,5,3,3,0,0.0,0.0,0,one_measurement_augmentation
single_thr_40,single_context,3,5,4,4,0,0.0,0.59175171,0,one_measurement_augmentation
single_thr_41,single_context,1,5,2,2,0,0.71428571,0.03985678,0,one_measurement_augmentation
single_thr_41,single_context,2,5,3,3,0,0.0,0.58947986,0,one_measurement_augmentation
single_thr_41,single_context,3,5,4,4,0,0.0,0.6514788,0,one_measurement_augmentation
single_thr_42,single_context,1,7,3,3,0,0.0,0.5444681,0,one_measurement_augmentation
single_thr_42,single_context,2,7,4,4,0,0.0,0.56950945,0,one_measurement_augmentation
single_thr_42,single_context,3,7,5,5,0,0.0,0.63533831,0,one_measurement_augmentation
single_thr_43,single_context,1,5,4,4,0,0.0,0.26515308,0,one_measurement_augmentation
single_thr_43,single_context,2,5,5,4,0,0.0,0.26515308,0,one_measurement_augmentation
single_thr_43,single_context,3,5,6,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_44,single_context,1,6,4,4,0,0.0,0.77988246,0,one_measurement_augmentation
single_thr_44,single_context,2,6,5,5,0,0.0,0.85844022,0,one_measurement_augmentation
single_thr_44,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_45,single_context,1,6,4,4,0,0.0,0.48208779,0,one_measurement_augmentation
single_thr_45,single_context,2,6,5,5,0,0.0,0.54192129,0,one_measurement_augmentation
single_thr_45,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_46,single_context,1,6,5,5,0,0.0,0.42015935,0,one_measurement_augmentation
single_thr_46,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_46,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_47,single_context,1,7,3,3,0,0.0,0.3029532,0,one_measurement_augmentation
single_thr_47,single_context,2,7,4,4,0,0.0,0.30405785,0,one_measurement_augmentation
single_thr_47,single_context,3,7,5,5,0,0.0,0.39147907,0,one_measurement_augmentation
single_thr_48,single_context,1,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_48,single_context,2,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_48,single_context,3,5,7,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_49,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_49,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_49,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_50,single_context,1,7,4,4,0,0.0,0.42847374,0,one_measurement_augmentation
single_thr_50,single_context,2,7,5,5,0,0.0,0.62568242,0,one_measurement_augmentation
single_thr_50,single_context,3,7,6,6,0,0.0,0.87267086,0,one_measurement_augmentation
single_thr_51,single_context,1,4,3,3,0,1.0,0.29289322,0,one_measurement_augmentation
single_thr_51,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_51,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_52,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_52,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_52,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_53,single_context,1,7,5,5,0,0.0,0.2368165,0,one_measurement_augmentation
single_thr_53,single_context,2,7,6,6,0,0.0,0.24810736,0,one_measurement_augmentation
single_thr_53,single_context,3,7,7,7,1,0.0,1.0,1,one_measurement_augmentation
single_thr_54,single_context,1,7,5,5,0,0.0,0.69457015,0,one_measurement_augmentation
single_thr_54,single_context,2,7,6,6,0,0.0,0.95119358,0,one_measurement_augmentation
single_thr_54,single_context,3,7,7,7,1,0.0,1.0,1,one_measurement_augmentation
single_thr_55,single_context,1,5,3,3,0,0.0,0.77600667,0,one_measurement_augmentation
single_thr_55,single_context,2,5,4,4,0,0.0,0.88169874,0,one_measurement_augmentation
single_thr_55,single_context,3,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_56,single_context,1,7,4,4,0,0.0,0.42425702,0,one_measurement_augmentation
single_thr_56,single_context,2,7,5,5,0,0.0,0.43128682,0,one_measurement_augmentation
single_thr_56,single_context,3,7,6,6,0,0.0,0.48650149,0,one_measurement_augmentation
single_thr_57,single_context,1,6,2,2,0,0.9,0.46851696,0,one_measurement_augmentation
single_thr_57,single_context,2,6,3,3,0,0.85714286,0.70113653,0,one_measurement_augmentation
single_thr_57,single_context,3,6,4,4,0,0.0,0.71854502,0,one_measurement_augmentation
single_thr_58,single_context,1,6,3,3,0,1.0,0.38473341,0,one_measurement_augmentation
single_thr_58,single_context,2,6,4,4,0,0.0,0.64989294,0,one_measurement_augmentation
single_thr_58,single_context,3,6,5,5,0,0.0,0.73328925,0,one_measurement_augmentation
single_thr_59,single_context,1,4,3,3,0,0.0,0.81685258,0,one_measurement_augmentation
single_thr_59,single_context,2,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_59,single_context,3,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_60,single_context,1,6,5,5,0,0.0,0.84960841,0,one_measurement_augmentation
single_thr_60,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_60,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_61,single_context,1,6,5,5,0,0.0,0.88380842,0,one_measurement_augmentation
single_thr_61,single_context,2,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_61,single_context,3,6,7,6,1,0.0,1.0,0,one_measurement_augmentation
single_thr_62,single_context,1,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_62,single_context,2,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_62,single_context,3,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_63,single_context,1,6,2,2,0,0.78378378,0.15983195,0,one_measurement_augmentation
single_thr_63,single_context,2,6,3,3,0,1.0,0.19560033,0,one_measurement_augmentation
single_thr_63,single_context,3,6,4,4,0,0.0,0.19795708,0,one_measurement_augmentation
single_thr_64,single_context,1,7,4,4,0,0.0,0.60477489,0,one_measurement_augmentation
single_thr_64,single_context,2,7,5,5,0,0.0,0.84568844,0,one_measurement_augmentation
single_thr_64,single_context,3,7,6,6,0,0.0,0.95322071,0,one_measurement_augmentation
single_thr_65,single_context,1,6,3,3,0,0.0,0.21923931,0,one_measurement_augmentation
single_thr_65,single_context,2,6,4,4,0,0.0,0.25652165,0,one_measurement_augmentation
single_thr_65,single_context,3,6,5,5,0,0.0,0.27786456,0,one_measurement_augmentation
single_thr_66,single_context,1,7,4,4,0,0.0,0.43578142,0,one_measurement_augmentation
single_thr_66,single_context,2,7,5,5,0,0.0,0.43636015,0,one_measurement_augmentation
single_thr_66,single_context,3,7,6,6,0,0.0,0.89213548,0,one_measurement_augmentation
single_thr_67,single_context,1,5,2,2,0,0.96428571,0.28225944,0,one_measurement_augmentation
