witness_id,family,n,m_total,rank,total_info,descriptor_signature,local_exact,global_exact,dls,cid,psi,il,tsf,alignment,residual,rank_only_pred,budget_only_pred,target_class,notes
single_0,single_context,6,3,3,5.71702829,n6|m3|r3|i5.72,0,0,1.0,0.0,,,0.00191134,0.04371883,2.70477161,0,1,linear_scalar,
single_1,single_context,7,1,1,2.6390574,n7|m1|r1|i2.64,0,0,0.86821705,0.0,,,2.64e-06,0.0016247,4.68279526,0,0,linear_scalar,
single_2,single_context,4,2,2,2.63905869,n4|m2|r2|i2.64,0,0,1.0,0.0,,,0.18753515,0.43305329,0.80178373,0,1,linear_scalar,
single_3,single_context,7,2,2,5.15905547,n7|m2|r2|i5.16,0,0,0.75,0.0,,,0.16771192,0.40952646,2.28689419,0,0,linear_scalar,
single_4,single_context,6,4,4,9.52719329,n6|m4|r4|i9.53,0,0,0.0,0.0,,,0.35320285,0.59430872,1.51795777,0,1,linear_scalar,
single_5,single_context,7,3,3,7.73499647,n7|m3|r3|i7.73,0,0,0.28,0.0,,,0.02933611,0.17127788,2.87077764,0,1,linear_scalar,
single_6,single_context,4,4,4,3.2188955,n4|m4|r4|i3.22,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_7,single_context,5,4,4,7.312555,n5|m4|r4|i7.31,0,0,0.0,0.0,,,0.96585849,0.982781,0.051657,0,1,linear_scalar,
single_8,single_context,5,4,4,6.57647143,n5|m4|r4|i6.58,0,0,0.0,0.0,,,0.549071,0.74099325,0.63443437,0,1,linear_scalar,
single_9,single_context,5,2,2,4.61512074,n5|m2|r2|i4.62,0,0,1.0,0.0,,,0.05145759,0.22684266,2.1868192,0,1,linear_scalar,
single_10,single_context,4,2,2,4.64439111,n4|m2|r2|i4.64,0,0,1.0,0.0,,,0.02298298,0.15160138,2.24465176,0,1,linear_scalar,
single_11,single_context,4,3,3,5.45103901,n4|m3|r3|i5.45,0,0,0.0,0.0,,,0.61785593,0.78603812,0.52409743,0,1,linear_scalar,
single_12,single_context,5,2,2,4.35670907,n5|m2|r2|i4.36,0,0,1.0,0.0,,,0.14003595,0.37421378,2.07549809,0,1,linear_scalar,
single_13,single_context,7,3,3,6.90374762,n7|m3|r3|i6.90,0,0,0.36842105,0.0,,,0.11347244,0.3368567,2.81347875,0,1,linear_scalar,
single_14,single_context,6,2,2,4.71849907,n6|m2|r2|i4.72,0,0,0.61538462,0.0,,,0.00550266,0.0741799,3.7032804,0,0,linear_scalar,
single_15,single_context,5,3,3,7.66293812,n5|m3|r3|i7.66,0,0,0.0,0.0,,,0.61118327,0.78178211,0.37796447,0,1,linear_scalar,
single_16,single_context,4,4,4,2.77264672,n4|m4|r4|i2.77,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_17,single_context,6,1,1,1.94591029,n6|m1|r1|i1.95,0,0,0.54166667,0.0,,,0.15759099,0.39697731,2.0,0,0,linear_scalar,
single_18,single_context,7,2,2,5.39362768,n7|m2|r2|i5.39,0,0,0.72972973,0.0,,,0.00216573,0.04653741,3.56753034,0,0,linear_scalar,
single_19,single_context,4,4,4,1.38631686,n4|m4|r4|i1.39,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_20,single_context,5,1,1,2.6390574,n5|m1|r1|i2.64,0,0,0.76271186,0.0,,,8.044e-05,0.00896879,3.96412484,0,0,linear_scalar,
single_21,single_context,7,1,1,2.89037181,n7|m1|r1|i2.89,0,0,0.66260163,0.0,,,0.00911375,0.09546597,3.0,0,0,linear_scalar,
single_22,single_context,6,3,3,6.13988535,n6|m3|r3|i6.14,0,0,0.76923077,0.0,,,0.26203856,0.51189703,1.61885443,0,1,linear_scalar,
single_23,single_context,6,4,4,8.99168728,n6|m4|r4|i8.99,0,0,0.0,0.0,,,0.5526143,0.74338032,0.81150267,0,1,linear_scalar,
single_24,single_context,7,2,2,5.49716836,n7|m2|r2|i5.50,0,0,0.74226804,0.0,,,0.00111174,0.03334275,3.48533226,0,0,linear_scalar,
single_25,single_context,6,3,3,6.43775213,n6|m3|r3|i6.44,0,0,1.0,0.0,,,0.17863279,0.42264973,2.0,0,1,linear_scalar,
single_26,single_context,5,4,4,5.62401995,n5|m4|r4|i5.62,0,0,0.0,0.0,,,0.46424536,0.68135553,0.90126265,0,1,linear_scalar,
single_27,single_context,6,1,1,2.39789536,n6|m1|r1|i2.40,0,0,0.78947368,0.0,,,0.06518928,0.25532191,2.35487888,0,0,linear_scalar,
single_28,single_context,6,1,1,2.6390574,n6|m1|r1|i2.64,0,0,0.95149254,0.0,,,3.94e-06,0.0019861,4.23421438,0,0,linear_scalar,
single_29,single_context,5,3,3,7.16703826,n5|m3|r3|i7.17,0,0,1.0,0.0,,,0.0110971,0.10534279,2.19145366,0,1,linear_scalar,
single_30,single_context,6,4,4,8.70599457,n6|m4|r4|i8.71,0,0,0.0,0.0,,,0.19039256,0.43633996,1.3806795,0,1,linear_scalar,
single_31,single_context,5,4,4,4.52179458,n5|m4|r4|i4.52,0,0,0.0,0.0,,,0.78205195,0.88433701,0.41702883,0,1,linear_scalar,
single_32,single_context,7,2,2,5.78689749,n7|m2|r2|i5.79,0,0,0.73809524,0.0,,,0.003205,0.05661273,3.6537232,0,0,linear_scalar,
single_33,single_context,7,2,2,5.15329176,n7|m2|r2|i5.15,0,0,0.78666667,0.0,,,0.00392585,0.06265656,4.08578531,0,0,linear_scalar,
single_34,single_context,6,3,3,5.82894633,n6|m3|r3|i5.83,0,0,1.0,0.0,,,0.03025979,0.17395343,2.97835328,0,1,linear_scalar,
single_35,single_context,6,1,1,2.39789536,n6|m1|r1|i2.40,0,0,0.73684211,0.0,,,8.34e-05,0.00913261,2.21564684,0,0,linear_scalar,
single_36,single_context,4,4,4,4.15889668,n4|m4|r4|i4.16,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_37,single_context,5,4,4,7.0561764,n5|m4|r4|i7.06,0,0,0.0,0.0,,,0.78957939,0.8885828,0.35233213,0,1,linear_scalar,
single_38,single_context,6,3,3,7.01391577,n6|m3|r3|i7.01,0,0,0.0,0.0,,,0.02261974,0.1503986,2.94310559,0,1,linear_scalar,
single_39,single_context,7,4,4,8.71276104,n7|m4|r4|i8.71,0,0,0.0,0.0,,,0.8782912,0.93717191,0.17770466,0,1,linear_scalar,
single_40,single_context,5,1,1,1.94591029,n5|m1|r1|i1.95,0,0,0.88636364,0.0,,,0.0,0.0,2.44948974,0,0,linear_scalar,
single_41,single_context,5,1,1,1.94591029,n5|m1|r1|i1.95,0,0,0.81818182,0.0,,,8.044e-05,0.00896879,2.80305955,0,0,linear_scalar,
single_42,single_context,7,2,2,5.28320388,n7|m2|r2|i5.28,0,0,0.36842105,0.0,,,0.05175398,0.22749501,3.09001996,0,0,linear_scalar,
single_43,single_context,5,3,3,4.02535346,n5|m3|r3|i4.03,0,0,1.0,0.0,,,0.00139151,0.0373029,3.04431555,0,1,linear_scalar,
single_44,single_context,6,3,3,6.30809888,n6|m3|r3|i6.31,0,0,1.0,0.0,,,0.60821665,0.77988246,0.85251156,0,1,linear_scalar,
single_45,single_context,6,3,3,8.11192828,n6|m3|r3|i8.11,0,0,0.0,0.0,,,0.00476408,0.06902228,3.48339966,0,1,linear_scalar,
single_46,single_context,6,4,4,8.03171145,n6|m4|r4|i8.03,0,0,0.0,0.0,,,0.10904544,0.33022029,2.50608619,0,1,linear_scalar,
single_47,single_context,7,2,2,4.96981349,n7|m2|r2|i4.97,0,0,0.70833333,0.0,,,0.00013553,0.01164184,4.19324854,0,0,linear_scalar,
