dataset,decision_regret_amount_vs_context,amount_bayes_error,augmented_bayes_error,risk_reduction_augmented_vs_amount
ocp_rank_witness,0.5000000000000001,0.5,0.0,0.5
information_real_system,0.25308641975308643,0.17901234567901234,0.06172839506172839,0.11728395061728394
gravity_recoverability,0.2772727272727273,0.2863636363636364,0.16363636363636366,0.12272727272727271
gravity_blackhole_only,0.25925925925925924,0.2592592592592593,0.16666666666666669,0.09259259259259262
external_uci_wine_quality,0.19547483453901798,0.18547021702324146,0.16623056795444008,0.01923964906880138
external_uci_magic_gamma,0.2916929547844374,0.2671398527865408,0.21729758149316375,0.04984227129337704
external_uci_ionosphere,0.12250712250712252,0.10541310541310542,0.06267806267806268,0.042735042735042736
external_uci_spambase,0.18930667246250812,0.1864811997391873,0.13888285155401042,0.047598348185176886
external_uci_sonar,0.2692307692307692,0.2403846153846155,0.15384615384615388,0.08653846153846162
external_uci_wdbc,0.0562390158172232,0.057996485061511435,0.04569420035149386,0.012302284710017576
