dataset,n_samples,nearest_centroid_acc_amount,nearest_centroid_acc_augmented,nearest_centroid_delta_aug_minus_amount,knn5_acc_amount,knn5_acc_augmented,knn5_delta_aug_minus_amount
ocp_rank_witness,68,0.41428571428571426,1.0,0.5857142857142857,0.2357142857142857,1.0,0.7642857142857142
information_real_system,162,0.5371212121212121,0.5371212121212121,0.0,0.6115530303030303,0.5558712121212122,-0.055681818181818166
gravity_recoverability,220,0.6274207188160676,0.6274207188160676,0.0,0.6590556730091613,0.6551303735024666,-0.003925299506694735
gravity_blackhole_only,54,0.5642424242424242,0.5642424242424242,0.0,0.61,0.6281818181818182,0.018181818181818188
external_uci_wine_quality,6497,0.5171595902173269,0.5174672825250193,0.0003076923076923421,0.8066794575709124,0.8099097530644874,0.0032302954935750083
external_uci_magic_gamma,19020,0.6614618356020434,0.6614092455415649,-5.25900604785301e-05,0.7378542946925097,0.7450048290105391,0.007150534318029367
external_uci_ionosphere,351,0.6467605633802818,0.6467605633802818,0.0,0.7550503018108652,0.7949295774647887,0.03987927565392346
external_uci_spambase,4601,0.6850646090082809,0.6850646090082809,0.0,0.7487468676120836,0.7661287407003081,0.017381873088224475
external_uci_sonar,208,0.6732166491100127,0.6732166491100127,0.0,0.5964076384949896,0.6594792426329579,0.0630716041379683
external_uci_wdbc,569,0.8909426702577914,0.8909426702577914,0.0,0.9543208926510196,0.9543208926510196,0.0
