law_case,dataset,target_kind,initial_mmse,final_mmse,flow_values,monotone_nondecreasing,status,assumption_tag
target_independent_garbling,ocp_rank_witness,binary,0.25,0.25,"[0.25, 0.25, 0.25, 0.25, 0.25]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_wine_quality,binary,0.12550348772449152,0.14779696590600008,"[0.12550348772449152, 0.1343350429446056, 0.14024248197435077, 0.14456178678726736, 0.14779696590600008]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_magic_gamma,binary,0.18385207723586267,0.21328735482846803,"[0.18385207723586267, 0.19561832648486094, 0.20330998448287704, 0.20898281727613388, 0.21328735482846803]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_ionosphere,binary,0.0735334795519981,0.18726984562998958,"[0.0735334795519981, 0.12201767785296619, 0.1520126109728123, 0.17255464707089163, 0.18726984562998958]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_spambase,binary,0.12408364817513756,0.19747823080120724,"[0.12408364817513756, 0.1516715603348385, 0.17112878608428952, 0.185959916065, 0.19747823080120724]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_sonar,binary,0.16056067330105794,0.2262633616980799,"[0.16056067330105794, 0.18840565126345518, 0.20583612477779942, 0.21778914416689982, 0.2262633616980799]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling,external_uci_wdbc,binary,0.03921277170398436,0.1633334534053554,"[0.03921277170398436, 0.08686046001498143, 0.11957537373700264, 0.14422893616010785, 0.1633334534053554]",1,PROVED_RESTRICTED,Markov target-independent garbling on finite records
target_independent_garbling_multivalued,analytic_multivalued_example,multivalued,0.41785714285714287,1.4456275497695117,"[0.41785714285714287, 0.8236956521739132, 1.0892371888726209, 1.2618653001032298, 1.3735749335230558, 1.4456275497695117]",1,PROVED_RESTRICTED,"Finite-valued target, squared-loss MMSE, target-independent garbling"
bsc_semigroup_closed_form,analytic_binary_bsc,binary,0.0,0.24980051933425595,"[0.0, 0.1275, 0.189975, 0.22058775, 0.2355879975, 0.24293811877500002, 0.24653967819975003, 0.2483044423178775, 0.24916917673575995, 0.24959289660052242, 0.24980051933425595]",1,PROVED_RESTRICTED,Binary symmetric target-independent semigroup from perfect observation
target_dependent_transition_counterexample,analytic_binary_example,binary,0.25,0.0,"[0.25, 0.0]",0,NO_GO_COUNTEREXAMPLE,Transition uses hidden target; outside garbling theorem assumptions
