channel_family,epsilon,defect_floor,reached,horizon,flow_prefix,status
bsc_semigroup,0.05,0.05,1,2,"[0.0, 0.04749999999999999, 0.08597499999999998]",PROVED_RESTRICTED
bsc_semigroup,0.05,0.1,1,3,"[0.0, 0.04749999999999999, 0.08597499999999998, 0.11713974999999997]",PROVED_RESTRICTED
bsc_semigroup,0.05,0.15,1,5,"[0.0, 0.04749999999999999, 0.08597499999999998, 0.11713974999999997, 0.14238319749999997, 0.16283038997499996]",PROVED_RESTRICTED
bsc_semigroup,0.05,0.2,1,8,"[0.0, 0.04749999999999999, 0.08597499999999998, 0.11713974999999997, 0.14238319749999997, 0.16283038997499996, 0.17939261587974997, 0.19280801886259746, 0.20367449527870396]",PROVED_RESTRICTED
bsc_semigroup,0.05,0.24,1,16,"[0.0, 0.04749999999999999, 0.08597499999999998, 0.11713974999999997, 0.14238319749999997, 0.16283038997499996, 0.17939261587974997, 0.19280801886259746, 0.20367449527870396, 0.2124763411757502, 0.21960583635235767, 0.22538072744540974]",PROVED_RESTRICTED
bsc_semigroup,0.1,0.05,1,1,"[0.0, 0.08999999999999998]",PROVED_RESTRICTED
bsc_semigroup,0.1,0.1,1,2,"[0.0, 0.08999999999999998, 0.14759999999999995]",PROVED_RESTRICTED
bsc_semigroup,0.1,0.15,1,3,"[0.0, 0.08999999999999998, 0.14759999999999995, 0.18446399999999996]",PROVED_RESTRICTED
bsc_semigroup,0.1,0.2,1,4,"[0.0, 0.08999999999999998, 0.14759999999999995, 0.18446399999999996, 0.20805696]",PROVED_RESTRICTED
bsc_semigroup,0.1,0.24,1,8,"[0.0, 0.08999999999999998, 0.14759999999999995, 0.18446399999999996, 0.20805696, 0.22315645439999998, 0.23282013081599998, 0.23900488372224002, 0.24296312558223362]",PROVED_RESTRICTED
bsc_semigroup,0.15,0.05,1,1,"[0.0, 0.1275]",PROVED_RESTRICTED
bsc_semigroup,0.15,0.1,1,1,"[0.0, 0.1275]",PROVED_RESTRICTED
bsc_semigroup,0.15,0.15,1,2,"[0.0, 0.1275, 0.189975]",PROVED_RESTRICTED
bsc_semigroup,0.15,0.2,1,3,"[0.0, 0.1275, 0.189975, 0.22058775]",PROVED_RESTRICTED
bsc_semigroup,0.15,0.24,1,5,"[0.0, 0.1275, 0.189975, 0.22058775, 0.2355879975, 0.24293811877500002]",PROVED_RESTRICTED
bsc_semigroup,0.2,0.05,1,1,"[0.0, 0.16000000000000003]",PROVED_RESTRICTED
bsc_semigroup,0.2,0.1,1,1,"[0.0, 0.16000000000000003]",PROVED_RESTRICTED
bsc_semigroup,0.2,0.15,1,1,"[0.0, 0.16000000000000003]",PROVED_RESTRICTED
bsc_semigroup,0.2,0.2,1,2,"[0.0, 0.16000000000000003, 0.2176]",PROVED_RESTRICTED
bsc_semigroup,0.2,0.24,1,4,"[0.0, 0.16000000000000003, 0.2176, 0.238336, 0.24580096]",PROVED_RESTRICTED
bsc_semigroup,0.25,0.05,1,1,"[0.0, 0.1875]",PROVED_RESTRICTED
bsc_semigroup,0.25,0.1,1,1,"[0.0, 0.1875]",PROVED_RESTRICTED
bsc_semigroup,0.25,0.15,1,1,"[0.0, 0.1875]",PROVED_RESTRICTED
bsc_semigroup,0.25,0.2,1,2,"[0.0, 0.1875, 0.234375]",PROVED_RESTRICTED
bsc_semigroup,0.25,0.24,1,3,"[0.0, 0.1875, 0.234375, 0.24609375]",PROVED_RESTRICTED
