dataset,n_samples,baseline_DFMI,baseline_IDELB,augmented_DFMI,augmented_IDELB,CL_abs,CL_rel
ocp_rank_witness,68.0,1.0,0.5,0.0,0.0,0.5,1.0
information_real_system,162.0,0.4074074074074074,0.17901234567901234,0.0743801652892562,0.06172839506172839,0.11728395061728394,0.6551724137931034
gravity_recoverability,220.0,0.7777777777777778,0.2863636363636364,0.20535714285714285,0.16363636363636364,0.12272727272727274,0.4285714285714286
gravity_blackhole_only,54.0,0.7692307692307693,0.25925925925925924,0.23529411764705882,0.16666666666666666,0.09259259259259259,0.35714285714285715
external_uci_wine_quality,6497.0,0.602510460251046,0.18547021702324148,0.41310975609756095,0.16623056795444052,0.019239649068800962,0.10373443983402478
external_uci_magic_gamma,19020.0,0.9017857142857143,0.2671398527865405,0.7639257294429708,0.21729758149316508,0.04984227129337543,0.1865774453847669
external_uci_ionosphere,351.0,0.22580645161290322,0.10541310541310542,0.13380281690140844,0.06267806267806268,0.042735042735042736,0.4054054054054054
external_uci_spambase,4601.0,0.6944444444444444,0.18648119973918714,0.4334862385321101,0.13888285155401,0.047598348185177136,0.25524475524475526
external_uci_sonar,208.0,0.5897435897435898,0.2403846153846154,0.3068181818181818,0.15384615384615385,0.08653846153846154,0.36
external_uci_wdbc,569.0,0.17073170731707318,0.05799648506151142,0.0821917808219178,0.04569420035149385,0.01230228471001757,0.21212121212121204
