repo,absolute_path,relative_path,branch_domain,source_type,canonicality,confidence,local_state,size_bytes
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/CHANGELOG.md,CHANGELOG.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,284
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/ECOSYSTEM_ROLE.md,ECOSYSTEM_ROLE.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,895
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/GITHUB_README_LITE.md,GITHUB_README_LITE.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,5911
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/README.md,README.md,RGE / recursive-entropy PRNG ecosystem,canonical_report,canonical,high,tracked_clean,1994
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/docs/releases/README.md,docs/releases/README.md,RGE / recursive-entropy PRNG ecosystem,canonical_report,canonical,high,tracked_clean,98
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/docs/releases/v1.0.0.md,docs/releases/v1.0.0.md,RGE / recursive-entropy PRNG ecosystem,narrative_doc,supporting,medium,tracked_clean,959
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/index.html,index.html,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,22532
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/manifest-lite.json,manifest-lite.json,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,511
RGE-256-Lite,/Users/stevenreid/Documents/New project/repos/RGE-256-Lite/service-worker-lite.js,service-worker-lite.js,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,846
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/CHANGELOG.md,CHANGELOG.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,383
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/ECOSYSTEM_ROLE.md,ECOSYSTEM_ROLE.md,RGE / recursive-entropy PRNG ecosystem,supporting,supporting,medium,tracked_clean,1104
RGE-256-app,/Users/stevenreid/Documents/New project/repos/RGE-256-app/README.md,README.md,RGE / recursive-entropy PRNG ecosystem,canonical_report,canonical,high,tracked_clean,3272
