source_path,source_scope,layers_touched,status_type,canonical_class,confidence,notes
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/sfpr/anomaly_catalog.csv,ocp_repo,V_structure_recoverability,empirical,canonical_or_active,0.95,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/sfpr/formation_witnesses.csv,ocp_repo,II_structure_formation,empirical,canonical_or_active,0.95,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/sfpr/persistence_anomalies.csv,ocp_repo,III_structure_persistence,empirical,canonical_or_active,0.95,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/sfpr/threshold_catalog.csv,ocp_repo,V_structure_recoverability,empirical,canonical_or_active,0.95,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/discovery/anomaly_catalog.csv,ocp_repo,V_structure_recoverability,narrative,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/discovery/new_structures_report.md,ocp_repo,I_structure_ontology,narrative,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/discovery/run_new_structure_exploration.py,ocp_repo,I_structure_ontology,script,exploratory_or_supporting,0.55,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/adjacent-directions/tsit_claim_status_table.md,ocp_repo,VI_structure_design,narrative,canonical_or_active,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/adjacent-directions/tsit_quantitative_extension.md,ocp_repo,VI_structure_design,narrative,canonical_or_active,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/adjacent-directions/tsit_witness_catalog_reference.md,ocp_repo,VI_structure_design,narrative,canonical_or_active,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/context_invariant_recoverability_no_go_candidates.md,ocp_repo,III_structure_persistence;V_structure_recoverability,no-go,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/context_invariant_recoverability_overview.md,ocp_repo,III_structure_persistence;V_structure_recoverability,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/context_invariant_recoverability_theorem_candidates.md,ocp_repo,III_structure_persistence;V_structure_recoverability,theorem,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/context_invariant_recoverability_validation_plan.md,ocp_repo,III_structure_persistence;V_structure_recoverability,validation,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/descriptor-fiber-anti-classifier-branch-finalization-report.md,ocp_repo,I_structure_ontology,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/descriptor-fiber-anti-classifier-branch-integration-report.md,ocp_repo,I_structure_ontology,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/descriptor-fiber-anti-classifier-branch-overview.md,ocp_repo,I_structure_ontology,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/descriptor-fiber-anti-classifier-branch-status.md,ocp_repo,I_structure_ontology,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/final-theory-formation-decision.md,ocp_repo,II_structure_formation,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/geometry-pass-2026-04-16/06-constrained-observation-fiber-geometry-report.md,ocp_repo,I_structure_ontology,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/geometry-pass-2026-04-16/08-same-rank-failure-geometric-invariant-report.md,ocp_repo,V_structure_recoverability,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/indistinguishability_exploration.md,ocp_repo,IV_structure_collapse,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/indistinguishability_full_report.md,ocp_repo,IV_structure_collapse,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/tsit-quantitative-extension-finalization-report.md,ocp_repo,VI_structure_design,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/tsit-quantitative-extension-integration-report.md,ocp_repo,VI_structure_design,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/tsit-quantitative-extension-status.md,ocp_repo,VI_structure_design,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/ocp-research-program/docs/research-program/tsit_repo_positioning_report.md,ocp_repo,VI_structure_design,narrative,supporting,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_claim_extraction.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_claim_positioning.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_falsification_report.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_file_inventory.csv,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_positioning_inventory.csv,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_positioning_source_map.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_reduction_attack_report.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/tsit_source_map.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.70,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_falsification_summary.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_full_expansion_master_report.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_literature_overlap_audit.md,sibling_workspace,VI_structure_design,validation,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_literature_risk_notes.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
/Users/stevenreid/Documents/New project/repos/topological-adam/docs/research-program/tsit_major_expansion_report.md,sibling_workspace,VI_structure_design,narrative,external_or_sibling,0.85,
